title;description;artist;culture;country;teaserText;url;image;regularImage;largeImage;date;medium;accessionNumber;galleryInformation
Ax head with monkey figure; ;;;;<p>Date: ca. 1981–1640 B.C.<br/>Accession Number: 30.8.111</p>;"/art/collection/search/544815?&sortBy=Relevance&ft=monkey&offset=1&rpp=100&amp;pos=31";https://images.metmuseum.org/CRDImages/eg/mobile-large/DP226285.jpg;eg/web-additional/DP226285.jpg;eg/web-large/DP226285.jpg;ca. 1981–1640 B.C.;Bronze or copper alloy;30.8.111;On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MjEwMDcyLDQwLjc4MDEyNjRAbG1ANTExNDY3ODY1MDAy' target='_blank'>Gallery 109</a>
Terracotta aryballos (perfume vase) in the form of a monkey; ;;Rhodian;Rhodes;<p>Date: 1st quarter of the 6th century BCE<br/>Accession Number: 1992.11.2</p>;"/art/collection/search/256066?&sortBy=Relevance&ft=monkey&offset=1&rpp=100&amp;pos=32";https://images.metmuseum.org/CRDImages/gr/mobile-large/DT6833.jpg;gr/web-additional/DT6833.jpg;gr/web-large/DT6833.jpg;1st quarter of the 6th century BCE;Terracotta;1992.11.2;On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2Mjk4MTgxLDQwLjc3ODg0MjlAbG1ANzkwOTYwMjg3MjMx' target='_blank'>Gallery 152</a>
Nude female holding monkeys; ;;;;<p>Date: ca. 945–525 B.C.<br/>Accession Number: 66.99.71</p>;"/art/collection/search/549698?&sortBy=Relevance&ft=monkey&offset=1&rpp=100&amp;pos=33";https://images.metmuseum.org/CRDImages/eg/mobile-large/DP345152.jpg;eg/web-additional/DP345152.jpg;eg/web-large/DP345152.jpg;ca. 945–525 B.C.;Pale blue faience;66.99.71;On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MjE0NTczLDQwLjc4MDE3OTA5QGxtQDc2MzQzMTYxNTQ3Nw==' target='_blank'>Gallery 125</a>
Stirrup-spout bottle with monkey and snake; ;;Cupisnique artist;Cupisnique artist;<p>Date: 800–500 BCE<br/>Accession Number: 67.239.6</p>;"/art/collection/search/309509?&sortBy=Relevance&ft=monkey&offset=1&rpp=100&amp;pos=34";https://images.metmuseum.org/CRDImages/ao/mobile-large/DP-23562-002.jpg;ao/web-additional/DP-23562-002.jpg;ao/web-large/DP-23562-002.jpg;800–500 BCE;Ceramic;67.239.6;On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2Mjk3MzQ3LDQwLjc3OTIzNjgxQGxtQDM1ODMzNTIxMTQ5NQ==' target='_blank'>Gallery 202</a>
Hook(?) with Human or Monkey; ;;Thailand (Ban Chiang);Thailand ;<p>Date: ca. 300 BCE–200 CE<br/>Accession Number: 2000.284.56</p>;"/art/collection/search/39208?&sortBy=Relevance&ft=monkey&offset=1&rpp=100&amp;pos=35";https://images.metmuseum.org/CRDImages/as/mobile-large/2000_284_56.jpg;as/web-additional/2000_284_56.jpg;as/web-large/2000_284_56.jpg;ca. 300 BCE–200 CE;Bronze;2000.284.56;On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MjAyNzUyLDQwLjc3OTk5NjEzQGxtQDE2NDQ2NTcyOTAyOQ==' target='_blank'>Gallery 244</a>
Jar Decorated with a Baby Monkey; ;;;;<p>Date: ca. 3700–3450 B.C.<br/>Accession Number: 07.228.107</p>;"/art/collection/search/547245?&sortBy=Relevance&ft=monkey&offset=1&rpp=100&amp;pos=36";https://images.metmuseum.org/CRDImages/eg/mobile-large/DP248958.jpg;eg/web-additional/DP248958.jpg;eg/web-large/DP248958.jpg;ca. 3700–3450 B.C.;Pottery (Black-topped Red Ware);7.228.107;On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MjUyNTA4LDQwLjc3OTQ0NDAyQGxtQDc5MTE2NTM5Mzc3Nw==' target='_blank'>Gallery 101</a>
Terracotta vase in the shape of a monkey; ;;Etruscan, Etrusco-Corinthian;Italy;<p>Date: ca. 565–550 BCE<br/>Accession Number: 26.60.92</p>;"/art/collection/search/252556?&sortBy=Relevance&ft=monkey&offset=1&rpp=100&amp;pos=37";https://images.metmuseum.org/CRDImages/gr/mobile-large/DP245700.jpg;gr/web-additional/DP245700.jpg;gr/web-large/DP245700.jpg;ca. 565–550 BCE;Terracotta;26.60.92;On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MzY5NzAxLDQwLjc3ODA1MjcyQGxtQDE4MDg5MTI2Nzk1Mw==' target='_blank'>Gallery 170</a>
Vase in the Shape of Mother Monkey with Her Young; ;;;;<p>Date: ca. 2255–2246 B.C.<br/>Accession Number: 30.8.134</p>;"/art/collection/search/543898?&sortBy=Relevance&ft=monkey&offset=1&rpp=100&amp;pos=38";https://images.metmuseum.org/CRDImages/eg/mobile-large/DT8834.jpg;eg/web-additional/DT8834.jpg;eg/web-large/DT8834.jpg;ca. 2255–2246 B.C.;Travertine (Egyptian alabaster), paint, resin and pigment;30.8.134;On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MjM1ODA5LDQwLjc3OTY3MzAyQGxtQDU0MTQzNDIwMzEzMw==' target='_blank'>Gallery 103</a>
Scene with monkeys and baboons; ;;;;<p>Date: ca. 2051–2000 B.C.<br/>Accession Number: 26.3.354-4-related</p>;"/art/collection/search/590882?&sortBy=Relevance&ft=monkey&offset=1&rpp=100&amp;pos=39";https://images.metmuseum.org/CRDImages/eg/mobile-large/26.3.354-4_3117.jpg;eg/web-additional/26.3.354-4_3117.jpg;eg/web-large/26.3.354-4_3117.jpg;ca. 2051–2000 B.C.;Limestone, paint;26.3.354-4-related;On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MjE0Njc1LDQwLjc3OTk2MjgzQGxtQDU3NTk5NTIzNzAyMA==' target='_blank'>Gallery 107</a>
Inr? with Gibbons in a Landscape;Design by Kano Sukekiyo (1787–1840);Kano Sukekiyo;Japan;Japan;<p>Design by Kano Sukekiyo (1787–1840) </p><p>Date: early 19th century<br/>Accession Number: 36.100.212</p>;"/art/collection/search/58894?&sortBy=Relevance&ft=monkey&offset=1&rpp=100&amp;pos=40";https://images.metmuseum.org/CRDImages/as/mobile-large/36_100_212_03.JPG;as/web-additional/36_100_212_03.JPG;as/web-large/36_100_212_03.JPG;early 19th century;"Four cases; lacquered wood with togidashimaki-e imitating ink painting (togikirimaki-e) on gold lacquer ground";;
